2026-09-16 02:09:54.932 140545 DEBUG nova.cmd.compute [-] ******************************************************************************** [00;33m{{(pid=140545) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3533}}[00m
2026-09-16 02:21:18.994 140545 DEBUG nova.virt.libvirt.host [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] CPU controller found on host. [00;33m{{(pid=140545) _has_cgroupsv2_cpu_controller /opt/stack/nova/nova/virt/libvirt/host.py:1814}}[00m
2026-09-16 02:21:18.994 140545 DEBUG nova.virt.libvirt.driver [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] CPU mode 'custom' models 'Nehalem' was chosen, with extra flags: '' [00;33m{{(pid=140545) _get_guest_cpu_model_config /opt/stack/nova/nova/virt/libvirt/driver.py:6035}}[00m
2026-09-16 02:21:18.995 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Getting desirable topologies for flavor Flavor(created_at=2026-09-16T09:10:42Z,deleted=False,deleted_at=None,description=None,disabled=False,ephemeral_gb=0,extra_specs={hw_rng:allowed='True'},flavorid='42',id=11,is_public=True,memory_mb=192,name='m1.nano',projects=<?>,root_gb=1,rxtx_factor=1.0,swap=0,updated_at=None,vcpu_weight=0,vcpus=1) and image_meta ImageMeta(checksum='1352196d1db841ad1931906db5e76ff6',container_format='bare',created_at=2026-09-16T09:10:14Z,direct_url=<?>,disk_format='raw',id=5dd27059-9c8b-4a52-87ed-c86bf063a204,min_disk=0,min_ram=0,name='cirros-0.6.1-x86_64-disk',owner='d9fb7adfa35f4525a3401ad7ad0e15e8',properties=ImageMetaProps,protected=<?>,size=117440512,status='active',tags=<?>,updated_at=2026-09-16T09:10:16Z,virtual_size=<?>,visibility=<?>), allow threads: True [00;33m{{(pid=140545) _get_desirable_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:804}}[00m
2026-09-16 02:21:18.995 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Flavor limits 0:0:0 [00;33m{{(pid=140545) get_cpu_topology_constraints /opt/stack/nova/nova/virt/hardware.py:589}}[00m
2026-09-16 02:21:18.995 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Image limits 0:0:0 [00;33m{{(pid=140545) get_cpu_topology_constraints /opt/stack/nova/nova/virt/hardware.py:593}}[00m
2026-09-16 02:21:18.995 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Flavor pref 0:0:0 [00;33m{{(pid=140545) get_cpu_topology_constraints /opt/stack/nova/nova/virt/hardware.py:629}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Image pref 0:0:0 [00;33m{{(pid=140545) get_cpu_topology_constraints /opt/stack/nova/nova/virt/hardware.py:633}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Chose sockets=0, cores=0, threads=0; limits were sockets=65536, cores=65536, threads=65536 [00;33m{{(pid=140545) get_cpu_topology_constraints /opt/stack/nova/nova/virt/hardware.py:671}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Topology preferred VirtCPUTopology(cores=0,sockets=0,threads=0), maximum VirtCPUTopology(cores=65536,sockets=65536,threads=65536) [00;33m{{(pid=140545) _get_desirable_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:810}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Build topologies for 1 vcpu(s) 1:1:1 [00;33m{{(pid=140545) _get_possible_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:712}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Got 1 possible topologies [00;33m{{(pid=140545) _get_possible_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:742}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Possible topologies [VirtCPUTopology(cores=1,sockets=1,threads=1)] [00;33m{{(pid=140545) _get_desirable_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:816}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.virt.hardware [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Sorted desired topologies [VirtCPUTopology(cores=1,sockets=1,threads=1)] [00;33m{{(pid=140545) _get_desirable_cpu_topologies /opt/stack/nova/nova/virt/hardware.py:818}}[00m
2026-09-16 02:21:18.996 140545 DEBUG nova.objects.instance [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Lazy-loading 'vcpu_model' on Instance uuid 686ed780-64ba-42d1-a4ab-05b042a32b1e [00;33m{{(pid=140545) obj_load_attr /opt/stack/nova/nova/objects/instance.py:1147}}[00m
2026-09-16 02:21:19.007 140545 DEBUG nova.objects.base [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Object Instance<686ed780-64ba-42d1-a4ab-05b042a32b1e> lazy-loaded attributes: numa_topology,trusted_certs,migration_context,resources,vcpu_model [00;33m{{(pid=140545) wrapper /opt/stack/nova/nova/objects/base.py:135}}[00m
2026-09-16 02:21:19.018 140545 DEBUG nova.virt.libvirt.vif [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] vif_type=ovs instance=Instance(access_ip_v4=None,access_ip_v6=None,architecture=None,auto_disk_config=False,availability_zone='nova',cell_name=None,cleaned=False,compute_id=1,config_drive='',created_at=2026-09-16T09:20:43Z,default_ephemeral_device=None,default_swap_device=None,deleted=False,deleted_at=None,device_metadata=<?>,disable_terminate=False,display_description='tempest-ServerRescueNegativeTestJSON-server-1734704209',display_name='tempest-ServerRescueNegativeTestJSON-server-1734704209',ec2_ids=<?>,ephemeral_gb=0,ephemeral_key_uuid=None,fault=<?>,flavor=Flavor(11),hidden=False,host='devstack-92-210',hostname='tempest-serverrescuenegativetestjson-server-1734704209',id=15,image_ref='5dd27059-9c8b-4a52-87ed-c86bf063a204',info_cache=InstanceInfoCache,instance_type_id=11,kernel_id='',key_data='ecdsa-sha2-nistp384 AAAAE2VjZHNhLXNoYTItbmlzdHAzODQAAAAIbmlzdHAzODQAAABhBINBkDGa1veGKEStDGJgVgLJobXDzj0XFOBXMr3vd6riyi7LMMVK3DXvba1a3dSaNh5WvC9nkexW0Nd3bQ3R8rBWjmfOMxKCQMtJoldFukyz/Q++l2E6HZRfz3XTKpYWcg==',key_name='tempest-keypair-1670882093',keypairs=<?>,launch_index=0,launched_at=2026-09-16T09:20:47Z,launched_on='devstack-92-210',locked=False,locked_by=None,memory_mb=192,metadata={},migration_context=None,new_flavor=None,node='devstack-92-210',numa_topology=None,old_flavor=None,os_type=None,pci_devices=<?>,pci_requests=<?>,power_state=1,progress=0,project_id='63e9729bac264e878ed338711914ae93',ramdisk_id='',reservation_id='r-ucdjcuo0',resources=None,root_device_name='/dev/vda',root_gb=1,security_groups=SecurityGroupList,services=<?>,shutdown_terminate=False,system_metadata={boot_roles='member,reader',image_base_image_ref='5dd27059-9c8b-4a52-87ed-c86bf063a204',image_container_format='bare',image_disk_format='raw',image_hw_cdrom_bus='ide',image_hw_disk_bus='virtio',image_hw_input_bus=None,image_hw_machine_type='pc',image_hw_pointer_model=None,image_hw_rng_model='virtio',image_hw_video_model='virtio',image_hw_vif_model='virtio',image_min_disk='1',image_min_ram='0',image_owner_specified.openstack.md5='',image_owner_specified.openstack.object='images/cirros-0.6.1-x86_64-disk',image_owner_specified.openstack.sha256='',owner_project_name='tempest-ServerRescueNegativeTestJSON-617853583',owner_user_name='tempest-ServerRescueNegativeTestJSON-617853583-project-member'},tags=<?>,task_state='rescuing',terminated_at=None,trusted_certs=None,updated_at=2026-09-16T09:20:47Z,user_data='IyEvYmluL3NoCmVjaG8gIlByaW50aW5nIGNpcnJvcyB1c2VyIGF1dGhvcml6ZWQga2V5cyIKY2F0IH5jaXJyb3MvLnNzaC9hdXRob3JpemVkX2tleXMgfHwgdHJ1ZQo=',user_id='9624c52f131d4a0596bd3694bb4a8dcd',uuid=686ed780-64ba-42d1-a4ab-05b042a32b1e,vcpu_model=VirtCPUModel,vcpus=1,vm_mode=None,vm_state='active') vif={"id": "94d64be7-3113-4fa3-b515-bf6838a2bf25", "address": "fa:16:3e:f7:43:04", "network": {"id": "f4149e46-b039-477d-b0d0-f6ef905094db", "bridge": "br-int", "label": "tempest-ServerRescueNegativeTestJSON-2095437740-network", "subnets": [{"cidr": "10.1.0.0/28", "dns": [], "gateway": {"address": "10.1.0.1", "type": "gateway", "version": 4, "meta": {}}, "ips": [{"address": "10.1.0.3", "type": "fixed", "version": 4, "meta": {}, "floating_ips": [{"address": "172.24.5.135", "type": "floating", "version": 4, "meta": {}}], "label": "tempest-ServerRescueNegativeTestJSON-2095437740-network", "vif_mac": "fa:16:3e:f7:43:04"}], "routes": [], "version": 4, "meta": {"enable_dhcp": true, "dhcp_server": "10.1.0.2"}}], "meta": {"injected": false, "tenant_id": "63e9729bac264e878ed338711914ae93", "mtu": 1450, "physical_network": null, "tunneled": true}}, "type": "ovs", "details": {"connectivity": "l2", "port_filter": true, "ovs_hybrid_plug": false, "ovs_create_tap": true, "datapath_type": "system", "bridge_name": "br-int", "bound_drivers": {"0": "openvswitch"}}, "devname": "tap94d64be7-31", "ovs_interfaceid": "94d64be7-3113-4fa3-b515-bf6838a2bf25", "qbh_params": null, "qbg_params": null, "active": true, "vnic_type": "normal", "profile": {}, "preserve_on_delete": false, "delegate_create": true, "meta": {}} virt_type=qemu [00;33m{{(pid=140545) get_config /opt/stack/nova/nova/virt/libvirt/vif.py:601}}[00m
2026-09-16 02:21:19.018 140545 DEBUG nova.network.os_vif_util [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Converting VIF {"id": "94d64be7-3113-4fa3-b515-bf6838a2bf25", "address": "fa:16:3e:f7:43:04", "network": {"id": "f4149e46-b039-477d-b0d0-f6ef905094db", "bridge": "br-int", "label": "tempest-ServerRescueNegativeTestJSON-2095437740-network", "subnets": [{"cidr": "10.1.0.0/28", "dns": [], "gateway": {"address": "10.1.0.1", "type": "gateway", "version": 4, "meta": {}}, "ips": [{"address": "10.1.0.3", "type": "fixed", "version": 4, "meta": {}, "floating_ips": [{"address": "172.24.5.135", "type": "floating", "version": 4, "meta": {}}], "label": "tempest-ServerRescueNegativeTestJSON-2095437740-network", "vif_mac": "fa:16:3e:f7:43:04"}], "routes": [], "version": 4, "meta": {"enable_dhcp": true, "dhcp_server": "10.1.0.2"}}], "meta": {"injected": false, "tenant_id": "63e9729bac264e878ed338711914ae93", "mtu": 1450, "physical_network": null, "tunneled": true}}, "type": "ovs", "details": {"connectivity": "l2", "port_filter": true, "ovs_hybrid_plug": false, "ovs_create_tap": true, "datapath_type": "system", "bridge_name": "br-int", "bound_drivers": {"0": "openvswitch"}}, "devname": "tap94d64be7-31", "ovs_interfaceid": "94d64be7-3113-4fa3-b515-bf6838a2bf25", "qbh_params": null, "qbg_params": null, "active": true, "vnic_type": "normal", "profile": {}, "preserve_on_delete": false, "delegate_create": true, "meta": {}} [00;33m{{(pid=140545) nova_to_osvif_vif /opt/stack/nova/nova/network/os_vif_util.py:511}}[00m
2026-09-16 02:21:19.019 140545 DEBUG nova.network.os_vif_util [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Converted object VIFOpenVSwitch(active=True,address=fa:16:3e:f7:43:04,bridge_name='br-int',has_traffic_filtering=True,id=94d64be7-3113-4fa3-b515-bf6838a2bf25,network=Network(f4149e46-b039-477d-b0d0-f6ef905094db),plugin='ovs',port_profile=VIFPortProfileOpenVSwitch,preserve_on_delete=False,vif_name='tap94d64be7-31') [00;33m{{(pid=140545) nova_to_osvif_vif /opt/stack/nova/nova/network/os_vif_util.py:550}}[00m
2026-09-16 02:21:19.019 140545 DEBUG nova.objects.instance [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Lazy-loading 'pci_devices' on Instance uuid 686ed780-64ba-42d1-a4ab-05b042a32b1e [00;33m{{(pid=140545) obj_load_attr /opt/stack/nova/nova/objects/instance.py:1147}}[00m
2026-09-16 02:21:19.028 140545 DEBUG nova.objects.base [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] Object Instance<686ed780-64ba-42d1-a4ab-05b042a32b1e> lazy-loaded attributes: numa_topology,trusted_certs,migration_context,resources,vcpu_model,pci_devices [00;33m{{(pid=140545) wrapper /opt/stack/nova/nova/objects/base.py:135}}[00m
2026-09-16 02:21:19.030 140545 DEBUG nova.virt.libvirt.driver [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] [instance: 686ed780-64ba-42d1-a4ab-05b042a32b1e] End _get_guest_xml xml=<domain type="qemu">
  <uuid>686ed780-64ba-42d1-a4ab-05b042a32b1e</uuid>
  <name>instance-0000000f</name>
  <memory>196608</memory>
  <vcpu>1</vcpu>
  <metadata>
    <nova:instance xmlns:nova="http://openstack.org/xmlns/libvirt/nova/1.1">
      <nova:package version="34.1.0"/>
      <nova:name>tempest-ServerRescueNegativeTestJSON-server-1734704209</nova:name>
      <nova:creationTime>2026-09-16 09:21:18</nova:creationTime>
      <nova:flavor name="m1.nano" id="42">
        <nova:memory>192</nova:memory>
        <nova:disk>1</nova:disk>
        <nova:swap>0</nova:swap>
        <nova:ephemeral>0</nova:ephemeral>
        <nova:vcpus>1</nova:vcpus>
        <nova:extraSpecs>
          <nova:extraSpec name="hw_rng:allowed">True</nova:extraSpec>
        </nova:extraSpecs>
      </nova:flavor>
      <nova:image uuid="5dd27059-9c8b-4a52-87ed-c86bf063a204">
        <nova:containerFormat>bare</nova:containerFormat>
        <nova:diskFormat>raw</nova:diskFormat>
        <nova:minDisk>1</nova:minDisk>
        <nova:minRam>0</nova:minRam>
        <nova:properties>
          <nova:property name="hw_cdrom_bus">ide</nova:property>
          <nova:property name="hw_disk_bus">virtio</nova:property>
          <nova:property name="hw_machine_type">pc</nova:property>
          <nova:property name="hw_rng_model">virtio</nova:property>
          <nova:property name="hw_video_model">virtio</nova:property>
          <nova:property name="hw_vif_model">virtio</nova:property>
        </nova:properties>
      </nova:image>
      <nova:owner>
        <nova:user uuid="9624c52f131d4a0596bd3694bb4a8dcd">tempest-ServerRescueNegativeTestJSON-617853583-project-member</nova:user>
        <nova:project uuid="63e9729bac264e878ed338711914ae93">tempest-ServerRescueNegativeTestJSON-617853583</nova:project>
      </nova:owner>
      <nova:root type="image" uuid="5dd27059-9c8b-4a52-87ed-c86bf063a204"/>
      <nova:ports>
        <nova:port uuid="94d64be7-3113-4fa3-b515-bf6838a2bf25">
          <nova:ip type="fixed" address="10.1.0.3" ipVersion="4"/>
        </nova:port>
      </nova:ports>
    </nova:instance>
  </metadata>
  <sysinfo type="smbios">
    <system>
      <entry name="manufacturer">OpenStack Foundation</entry>
      <entry name="product">OpenStack Nova</entry>
      <entry name="version">34.1.0</entry>
      <entry name="serial">686ed780-64ba-42d1-a4ab-05b042a32b1e</entry>
      <entry name="uuid">686ed780-64ba-42d1-a4ab-05b042a32b1e</entry>
      <entry name="family">Virtual Machine</entry>
    </system>
  </sysinfo>
  <os>
    <type arch="x86_64" machine="pc">hvm</type>
    <smbios mode="sysinfo"/>
  </os>
  <features>
    <acpi/>
    <vmcoreinfo/>
  </features>
  <iothreads>1</iothreads>
  <clock offset="utc"/>
  <cpu mode="custom" match="exact">
    <model>Nehalem</model>
    <topology sockets="1" cores="1" threads="1"/>
  </cpu>
  <devices>
    <disk type="file" device="disk">
      <driver name="qemu" type="qcow2" cache="none"/>
      <source file="/opt/stack/data/nova/instances/686ed780-64ba-42d1-a4ab-05b042a32b1e/disk.rescue"/>
      <target dev="vda" bus="virtio"/>
    </disk>
    <disk type="file" device="disk">
      <driver name="qemu" type="qcow2" cache="none"/>
      <source file="/opt/stack/data/nova/instances/686ed780-64ba-42d1-a4ab-05b042a32b1e/disk"/>
      <target dev="vdb" bus="virtio"/>
    </disk>
    <interface type="ethernet">
      <mac address="fa:16:3e:f7:43:04"/>
      <model type="virtio"/>
      <driver name="qemu"/>
      <mtu size="1450"/>
      <target dev="tap94d64be7-31" managed="no"/>
    </interface>
    <serial type="pty">
      <log file="/opt/stack/data/nova/instances/686ed780-64ba-42d1-a4ab-05b042a32b1e/console.log" append="off"/>
    </serial>
    <graphics type="vnc" autoport="yes" listen="0.0.0.0"/>
    <video>
      <model type="virtio"/>
    </video>
    <rng model="virtio">
      <backend model="random">/dev/urandom</backend>
    </rng>
    <controller type="usb" index="0" model="none"/>
    <memballoon model="virtio" autodeflate="on" freePageReporting="on">
      <stats period="10"/>
    </memballoon>
  </devices>
</domain>
 [00;33m{{(pid=140545) _get_guest_xml /opt/stack/nova/nova/virt/libvirt/driver.py:8366}}[00m
2026-09-16 02:21:19.037 140545 INFO nova.virt.libvirt.driver [-] [instance: 686ed780-64ba-42d1-a4ab-05b042a32b1e] Instance destroyed successfully.
2026-09-16 02:21:19.083 140545 DEBUG nova.virt.libvirt.driver [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] No BDM found with device name vda, not building metadata. [00;33m{{(pid=140545) _build_disk_metadata /opt/stack/nova/nova/virt/libvirt/driver.py:13433}}[00m
2026-09-16 02:21:19.083 140545 DEBUG nova.virt.libvirt.driver [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] No BDM found with device name vdb, not building metadata. [00;33m{{(pid=140545) _build_disk_metadata /opt/stack/nova/nova/virt/libvirt/driver.py:13433}}[00m
2026-09-16 02:21:19.083 140545 DEBUG nova.virt.libvirt.driver [req-47e33947-dcd6-462f-870c-c21b073c5eca 9624c52f131d4a0596bd3694bb4a8dcd 63e9729bac264e878ed338711914ae93 - - default default] No VIF found with MAC fa:16:3e:f7:43:04, not building metadata [00;33m{{(pid=140545) _build_interface_metadata /opt/stack/nova/nova/virt/libvirt/driver.py:13409}}[00m
2026-09-16 02:21:19.244 140545 DEBUG nova.compute.manager [req-dec83e97-b550-4180-8f13-9f53f649cd73 8d26a579d7cd483f9b561fd896ed123f 10c78410dd614d7e8de6bf144a06aac9 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Received event network-vif-plugged-11839464-cc4c-4131-becf-4d49dff612b8 [00;33m{{(pid=140545) external_instance_event /opt/stack/nova/nova/compute/manager.py:11665}}[00m
2026-09-16 02:21:19.244 140545 DEBUG oslo_concurrency.lockutils [req-dec83e97-b550-4180-8f13-9f53f649cd73 8d26a579d7cd483f9b561fd896ed123f 10c78410dd614d7e8de6bf144a06aac9 - - default default] Acquiring lock "4010beb3-7dab-48eb-9827-a45769df569a-events" by "nova.compute.manager.InstanceEvents.pop_instance_event.<locals>._pop_event" [00;33m{{(pid=140545) inner /opt/stack/data/venv/lib/python3.12/site-packages/oslo_concurrency/lockutils.py:512}}[00m
2026-09-16 02:21:19.245 140545 DEBUG oslo_concurrency.lockutils [req-dec83e97-b550-4180-8f13-9f53f649cd73 8d26a579d7cd483f9b561fd896ed123f 10c78410dd614d7e8de6bf144a06aac9 - - default default] Lock "4010beb3-7dab-48eb-9827-a45769df569a-events" acquired by "nova.compute.manager.InstanceEvents.pop_instance_event.<locals>._pop_event" :: waited 0.001s [00;33m{{(pid=140545) inner /opt/stack/data/venv/lib/python3.12/site-packages/oslo_concurrency/lockutils.py:525}}[00m
2026-09-16 02:21:19.245 140545 DEBUG oslo_concurrency.lockutils [req-dec83e97-b550-4180-8f13-9f53f649cd73 8d26a579d7cd483f9b561fd896ed123f 10c78410dd614d7e8de6bf144a06aac9 - - default default] Lock "4010beb3-7dab-48eb-9827-a45769df569a-events" "released" by "nova.compute.manager.InstanceEvents.pop_instance_event.<locals>._pop_event" :: held 0.000s [00;33m{{(pid=140545) inner /opt/stack/data/venv/lib/python3.12/site-packages/oslo_concurrency/lockutils.py:544}}[00m
2026-09-16 02:21:19.245 140545 DEBUG nova.compute.manager [req-dec83e97-b550-4180-8f13-9f53f649cd73 8d26a579d7cd483f9b561fd896ed123f 10c78410dd614d7e8de6bf144a06aac9 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Processing event network-vif-plugged-11839464-cc4c-4131-becf-4d49dff612b8 [00;33m{{(pid=140545) _process_instance_event /opt/stack/nova/nova/compute/manager.py:11423}}[00m
2026-09-16 02:21:19.285 140545 DEBUG ovsdbapp.backend.ovs_idl.vlog [-] [POLLIN] on fd 14 [00;33m{{(pid=140545) __log_wakeup /opt/stack/data/venv/lib/python3.12/site-packages/ovs/poller.py:263}}[00m
2026-09-16 02:21:19.293 140545 DEBUG ovsdbapp.backend.ovs_idl.vlog [-] [POLLIN] on fd 14 [00;33m{{(pid=140545) __log_wakeup /opt/stack/data/venv/lib/python3.12/site-packages/ovs/poller.py:263}}[00m
2026-09-16 02:21:19.303 140545 DEBUG ovsdbapp.backend.ovs_idl.vlog [-] [POLLIN] on fd 14 [00;33m{{(pid=140545) __log_wakeup /opt/stack/data/venv/lib/python3.12/site-packages/ovs/poller.py:263}}[00m
2026-09-16 02:21:19.333 140545 DEBUG nova.compute.manager [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Instance event wait completed in 0 seconds for network-vif-plugged [00;33m{{(pid=140545) wait_for_instance_event /opt/stack/nova/nova/compute/manager.py:602}}[00m
2026-09-16 02:21:19.334 140545 DEBUG nova.virt.driver [req-3f311640-b6e2-46e9-95f2-eb2bef728686 - - - - - -] Emitting event <LifecycleEvent: 1789550479.3344533, 4010beb3-7dab-48eb-9827-a45769df569a => Started> [00;33m{{(pid=140545) emit_event /opt/stack/nova/nova/virt/driver.py:1905}}[00m
2026-09-16 02:21:19.335 140545 INFO nova.compute.manager [req-3f311640-b6e2-46e9-95f2-eb2bef728686 - - - - - -] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] VM Started (Lifecycle Event)
2026-09-16 02:21:19.338 140545 DEBUG nova.virt.libvirt.driver [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Guest created on hypervisor [00;33m{{(pid=140545) spawn /opt/stack/nova/nova/virt/libvirt/driver.py:5016}}[00m
2026-09-16 02:21:19.340 140545 DEBUG ovsdbapp.backend.ovs_idl.vlog [-] [POLLIN] on fd 14 [00;33m{{(pid=140545) __log_wakeup /opt/stack/data/venv/lib/python3.12/site-packages/ovs/poller.py:263}}[00m
2026-09-16 02:21:19.345 140545 INFO nova.virt.libvirt.driver [-] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Instance spawned successfully.
2026-09-16 02:21:19.345 140545 DEBUG nova.virt.libvirt.driver [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Attempting to register defaults for the following image properties: ['hw_cdrom_bus', 'hw_disk_bus', 'hw_input_bus', 'hw_pointer_model', 'hw_video_model', 'hw_vif_model'] [00;33m{{(pid=140545) _register_undefined_instance_details /opt/stack/nova/nova/virt/libvirt/driver.py:1160}}[00m
2026-09-16 02:21:19.349 140545 DEBUG nova.compute.manager [req-3f311640-b6e2-46e9-95f2-eb2bef728686 - - - - - -] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Checking state [00;33m{{(pid=140545) _get_power_state /opt/stack/nova/nova/compute/manager.py:1815}}[00m
2026-09-16 02:21:19.352 140545 DEBUG nova.compute.manager [req-3f311640-b6e2-46e9-95f2-eb2bef728686 - - - - - -] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Synchronizing instance power state after lifecycle event "Started"; current vm_state: building, current task_state: spawning, current DB power_state: 0, VM power_state: 1 [00;33m{{(pid=140545) handle_lifecycle_event /opt/stack/nova/nova/compute/manager.py:1370}}[00m
2026-09-16 02:21:19.361 140545 DEBUG nova.virt.libvirt.driver [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Found default for hw_cdrom_bus of ide [00;33m{{(pid=140545) _register_undefined_instance_details /opt/stack/nova/nova/virt/libvirt/driver.py:1189}}[00m
2026-09-16 02:21:19.362 140545 DEBUG nova.virt.libvirt.driver [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Found default for hw_disk_bus of virtio [00;33m{{(pid=140545) _register_undefined_instance_details /opt/stack/nova/nova/virt/libvirt/driver.py:1189}}[00m
2026-09-16 02:21:19.362 140545 DEBUG nova.virt.libvirt.driver [req-3c3aceb2-575d-4f7d-8d3b-ea4aec7e7a26 90788195d0714b8aa4171b3e78854978 fd0af69ee50347fdb10d83aa1e8d5600 - - default default] [instance: 4010beb3-7dab-48eb-9827-a45769df569a] Found default for hw_input_bus of None [00;33m{{(pid=140545) _register_undefined_instance_details /opt/stack/nova/nova/virt/libvirt/driver.py:1189}}[00m
